computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,SensitivityToPunishment,SensitivityToReward
mac,4/26/21,13:37:08,126,1,204774,1,13,9
mac,4/26/21,13:38:18,127,1,165986,1,20,10
mac,4/26/21,13:36:07,125,1,1058369,1,14,11
win,4/26/21,12:06:02,128,1,235888,1,4,20
mac,4/26/21,14:11:27,129,1,285199,1,23,13
win,4/26/21,14:21:49,130,1,169344,1,18,11
win,4/26/21,13:23:07,131,1,168888,1,12,12
win,4/26/21,14:23:50,132,1,171331,1,20,11
win,4/26/21,11:27:50,133,1,291210,1,17,8
win,4/26/21,11:40:08,136,1,207695,1,11,9
win,4/26/21,14:30:30,134,1,802576,1,17,10
win,4/26/21,13:50:28,140,1,228339,1,17,6
win,4/26/21,13:51:17,141,1,180867,1,20,6
mac,4/26/21,11:54:44,142,1,262489,1,18,9
win,4/26/21,14:45:24,135,1,898698,1,10,19
win,4/26/21,11:52:45,139,1,468061,1,18,17
win,4/26/21,18:52:30,137,1,465069,1,14,14
win,4/26/21,14:57:42,143,1,223073,1,20,7
mac,4/26/21,11:58:12,144,1,223215,1,22,8
win,4/26/21,15:00:55,145,1,294122,1,7,9
win,4/26/21,15:05:43,148,1,181043,1,16,7
win,4/26/21,12:05:44,147,1,279357,1,9,21
win,4/26/21,15:07:47,146,1,224428,1,15,14
win,4/26/21,12:11:37,150,1,249298,1,20,8
win,4/26/21,15:14:52,152,1,104454,1,15,13
win,4/26/21,11:39:30,153,1,256474,1,18,21
win,4/26/21,14:10:51,149,1,499146,1,20,9
win,4/26/21,12:12:48,151,1,416393,1,9,14
win,4/26/21,15:19:49,154,1,157647,1,18,14
win,4/26/21,15:25:59,156,1,351182,1,9,6
win,4/26/21,20:26:20,155,1,411452,1,8,9
win,4/26/21,07:31:24,157,1,343875,1,16,18
win,4/26/21,20:32:44,158,1,507307,1,20,20
win,4/26/21,15:06:08,160,1,153583,1,18,7
win,4/26/21,15:08:54,162,1,524326,1,15,14
win,4/26/21,15:54:53,161,1,157625,1,9,9
win,4/26/21,16:01:02,163,1,252404,1,18,9
win,4/26/21,15:10:28,164,1,419977,1,19,10
win,4/26/21,13:59:24,165,1,271621,1,7,22
win,4/26/21,16:18:27,159,1,858657,1,14,16
win,4/26/21,16:34:45,166,1,175216,1,7,10
and,4/27/21,03:02:31,167,1,54473,1,12,15
win,4/26/21,17:08:40,168,1,188031,1,21,10
ios,4/26/21,17:20:06,169,1,108724,1,20,20
win,4/26/21,22:30:09,170,1,403062,1,2,17
win,4/26/21,23:18:32,171,1,205697,1,18,8
win,5/12/21,13:15:44,172,1,156947,1,15,7
and,5/12/21,14:59:54,173,1,317090,1,3,18
win,5/12/21,16:06:10,174,1,5193,0,0,0
win,5/12/21,13:07:43,175,1,147461,1,22,20
win,5/12/21,10:25:08,177,1,131481,1,10,19
win,5/12/21,16:31:47,178,1,285081,1,20,11
win,5/12/21,15:33:37,179,1,215733,1,8,5
win,5/12/21,15:46:58,180,1,466428,1,20,11
win,5/12/21,13:23:15,176,1,1498305,1,3,10
win,5/12/21,11:08:25,181,1,223794,1,11,20
win,5/12/21,14:11:28,182,1,350524,1,17,17
mac,5/12/21,17:16:45,183,1,145710,1,21,12
win,5/12/21,16:17:48,184,1,207363,1,3,11
win,5/12/21,14:29:26,188,1,181577,1,17,8
mac,5/12/21,15:29:54,186,1,295637,1,15,6
mac,5/12/21,16:29:37,187,1,404914,1,13,18
win,5/12/21,17:29:55,185,1,569102,1,18,11
win,5/12/21,16:40:48,189,1,168636,1,9,1
win,5/12/21,14:50:29,190,1,190865,1,15,10
win,5/12/21,17:00:45,193,1,22799,0,0,0
win,5/12/21,17:02:33,191,1,288292,1,14,10
win,5/12/21,15:04:38,194,1,228161,1,22,10
win,5/12/21,15:12:46,196,1,204316,1,20,5
win,5/12/21,18:03:51,192,1,882463,1,19,10
and,5/12/21,15:17:56,197,1,204739,1,18,8
win,5/12/21,15:10:27,195,1,947395,1,9,11
win,5/12/21,15:23:04,199,1,324888,1,2,11
win,5/12/21,18:26:00,203,1,174938,1,20,11
win,5/12/21,17:25:59,202,1,215024,1,18,3
win,5/12/21,18:21:50,198,1,500970,1,9,6
and,5/12/21,15:28:46,204,1,230561,1,7,3
win,5/12/21,16:24:30,200,1,539700,1,13,12
win,5/12/21,18:28:49,201,1,511255,1,8,14
and,5/12/21,18:35:09,208,1,230922,1,23,15
win,5/12/21,17:33:52,206,1,404245,1,15,9
win,5/12/21,18:35:39,207,1,525314,1,8,9
win,5/12/21,15:42:46,209,1,315388,1,11,7
win,5/12/21,18:06:41,212,1,213718,1,6,6
win,5/12/21,15:50:47,211,1,289605,1,17,13
win,5/12/21,17:48:21,210,1,1050951,1,2,11
win,5/12/21,23:22:44,213,1,292138,1,12,5
mac,5/12/21,19:38:06,214,1,126957,1,6,9
win,5/12/21,18:53:57,215,1,359127,1,19,9
win,5/12/21,19:07:06,216,1,136294,1,6,4
mac,5/12/21,17:09:17,217,1,194313,1,16,5
win,5/12/21,19:18:18,218,1,325640,1,5,12
win,5/12/21,17:26:50,219,1,256296,1,7,18
mac,5/12/21,20:54:33,220,1,199421,1,23,8
win,5/13/21,14:40:50,221,1,63897,1,14,14
