subID,amount,task,indPt,SV
119,4,2,3.6875,0.921875
119,2,3,1.21875,0.609375
119,3,1,2.578125,0.859375
119,3,3,2.484375,0.828125
119,4,3,3.5625,0.890625
119,4,1,3.4375,0.859375
119,2,1,1.59375,0.796875
119,2,2,1.96875,0.984375
120,4,3,3.8125,0.953125
120,2,3,1.90625,0.953125
120,4,2,3.9375,0.984375
120,3,1,2.953125,0.984375
120,3,2,2.953125,0.984375
120,4,1,3.9375,0.984375
120,2,1,1.96875,0.984375
120,3,3,2.765625,0.921875
120,2,2,1.96875,0.984375
121,2,1,1.96875,0.984375
121,4,2,2.1875,0.546875
121,4,3,3.4375,0.859375
121,2,2,1.46875,0.734375
121,3,2,2.953125,0.984375
121,3,1,2.953125,0.984375
121,2,3,0.96875,0.484375
121,3,3,1.078125,0.359375
121,4,1,3.9375,0.984375
122,4,1,3.9375,0.984375
122,2,1,1.96875,0.984375
122,3,1,2.953125,0.984375
122,2,2,1.90625,0.953125
122,4,2,3.9375,0.984375
122,2,3,1.78125,0.890625
122,4,3,3.9375,0.984375
122,3,2,2.953125,0.984375
122,3,3,2.953125,0.984375
123,2,1,1.46875,0.734375
123,4,2,2.0625,0.515625
123,4,3,0.8125,0.203125
123,2,2,1.03125,0.515625
123,3,2,1.453125,0.484375
123,3,1,2.859375,0.953125
123,2,3,0.53125,0.265625
123,3,3,0.984375,0.328125
123,4,1,3.5625,0.890625
124,4,2,0.0625,0.015625
124,2,2,0.03125,0.015625
124,4,1,1.9375,0.484375
124,2,3,0.03125,0.015625
124,3,3,0.046875,0.015625
124,3,1,2.953125,0.984375
124,4,3,0.0625,0.015625
124,3,2,0.046875,0.015625
124,2,1,1.96875,0.984375
125,2,1,0.96875,0.484375
125,4,2,2.5625,0.640625
125,4,3,0.9375,0.234375
125,2,2,1.15625,0.578125
125,3,2,1.921875,0.640625
125,3,1,2.578125,0.859375
125,2,3,0.53125,0.265625
125,3,3,0.328125,0.109375
125,4,1,2.9375,0.734375
126,4,2,1.9375,0.484375
126,2,2,0.53125,0.265625
126,4,1,3.9375,0.984375
126,2,3,0.28125,0.140625
126,3,3,1.171875,0.390625
126,3,1,2.953125,0.984375
126,4,3,1.5625,0.390625
126,3,2,1.921875,0.640625
126,2,1,1.96875,0.984375
127,2,1,1.96875,0.984375
127,4,2,3.6875,0.921875
127,4,3,1.3125,0.328125
127,2,2,1.84375,0.921875
127,3,2,2.296875,0.765625
127,3,1,2.671875,0.890625
127,2,3,0.78125,0.390625
127,3,3,0.609375,0.203125
127,4,1,3.9375,0.984375
128,4,2,3.9375,0.984375
128,2,2,1.96875,0.984375
128,4,1,3.9375,0.984375
128,2,3,0.96875,0.484375
128,3,3,2.859375,0.953125
128,3,1,2.953125,0.984375
128,4,3,3.8125,0.953125
128,3,2,2.578125,0.859375
128,2,1,1.96875,0.984375
129,2,1,1.09375,0.546875
129,4,2,2.6875,0.671875
129,4,3,2.9375,0.734375
129,2,2,1.03125,0.515625
129,3,2,1.078125,0.359375
129,3,1,2.015625,0.671875
129,2,3,1.15625,0.578125
129,3,3,2.015625,0.671875
129,4,1,2.9375,0.734375
130,4,3,3.3125,0.828125
130,2,3,0.21875,0.109375
130,4,2,0.9375,0.234375
130,3,1,2.296875,0.765625
130,3,2,2.953125,0.984375
130,4,1,3.6875,0.921875
