inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Reward_N2_1,fixedAmount_N2_1,IP12_1,Reward_N2_2,fixedAmount_N2_2,IP12_2,Reward_N2_3,fixedAmount_N2_3,IP12_3,Reward_N3_1,fixedAmount_N3_1,IP13_1,Reward_N3_2,fixedAmount_N3_2,IP13_2,Reward_N3_3,fixedAmount_N3_3,IP13_3,Reward_N4_1,fixedAmount_N4_1,IP14_1,Reward_N4_2,fixedAmount_N4_2,IP14_2,Reward_N4_3,fixedAmount_N4_3,IP14_3,TotalWinAmount,finalN,finalReward,percentCorrect_N1,percentCorrect_N2,percentCorrect_N3,percentCorrect_N4,percentCorrect,meanCorrectSpeechWords_N1,meanCorrectSpeechWords_N2,meanCorrectSpeechWords_N3,meanCorrectSpeechWords_N4,meanCorrectSpeechWords,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4
6265,win,3/16/21,15:09:56,39,1,1185554,1,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,0.90625,3,X,1.453125,4,X,1.6875,2,X,0.21875,3,X,0.703125,4,X,0.3125,2,3,2,88,87,50,22,44,3.533333333,3.466666667,2,0.866666667,1.75,5,8,3,18,15,4,12,5,2,16,13,9,15,12,2,10,13,21,13,8,3,1,15,10
6265,win,3/16/21,20:11:16,17,1,1459003,1,2,X,1.09375,3,1,2.953125,4,X,2.9375,2,X,1.53125,3,X,2.296875,4,X,3.4375,2,X,0.90625,3,X,1.453125,4,X,1.9375,2.4375,1,2.4375,85,75,70,15,86,3.4,3,2.8,0.6,3.45,8,8,7,7,7,8,7,8,9,14,7,9,14,8,8,10,6,7,14,7,13,6,13,8
6265,win,3/18/21,01:03:40,30,1,1160411,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.5,1,0.5,10,13,2,0,19,0.4,0.533333333,0.066666667,0,0.75,15,16,7,4,4,14,15,15,8,6,6,13,18,18,5,2,2,13,20,19,4,1,1,16
6265,win,3/24/21,08:37:11,56,1,1730170,1,2,X,1.96875,3,X,2.953125,4,X,3.9375,2,X,1.53125,3,X,2.484375,4,X,2.9375,2,X,0.65625,3,X,0.234375,4,X,1.0625,3,3,3,92,93,67,25,73,3.666666667,3.733333333,2.666666667,1,2.9,8,1,3,20,13,3,14,1,3,19,15,4,16,1,3,13,17,4,18,1,3,3,19,3
6265,win,3/24/21,11:12:10,58,1,1417259,1,2,X,1.21875,3,X,1.828125,4,X,2.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,1,2,90,92,55,12,86,3.6,3.666666667,2.2,0.466666667,3.45,6,3,1,19,4,1,8,3,3,17,6,1,15,2,2,8,15,2,20,1,1,2,19,3
6265,win,3/24/21,12:15:23,29,1,1492424,1,2,X,0.09375,3,X,0.046875,4,X,0.0625,2,X,0.28125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.5,1,0.5,85,73,48,7,66,3.4,2.933333333,1.933333333,0.266666667,2.65,18,14,19,9,21,15,21,16,21,4,21,19,21,19,21,3,21,21,21,20,21,1,21,21
6265,win,3/24/21,11:51:04,19,1,1364346,1,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,1.5,1,1.5,73,55,42,10,74,2.933333333,2.2,1.666666667,0.4,2.95,7,1,9,16,12,11,21,1,6,1,21,21,21,1,8,1,21,21,21,1,7,1,21,21
6265,win,3/24/21,11:25:13,23,1,1699060,1,2,X,1.96875,3,1,2.953125,4,X,3.9375,2,X,0.03125,3,X,0.046875,4,X,0.3125,2,X,0.03125,3,X,0.046875,4,X,0.0625,4,2,4,90,90,63,7,74,3.6,3.6,2.533333333,0.266666667,2.95,2,1,1,20,8,1,2,1,2,20,8,1,14,1,2,9,15,1,20,1,2,1,17,3
6265,win,3/24/21,14:43:21,4,1,1588881,1,2,X,1.96875,3,X,2.953125,4,X,3.8125,2,X,1.03125,3,X,1.828125,4,X,2.5625,2,X,0.46875,3,X,0.703125,4,X,0.9375,3,2,3,90,85,53,10,83,3.6,3.4,2.133333333,0.4,3.3,7,5,2,18,13,17,16,7,3,16,17,19,20,6,3,8,20,19,21,9,2,1,21,21
6265,win,3/24/21,16:13:45,60,1,1837411,1,2,1,0.96875,3,X,2.859375,4,X,1.9375,2,1,1.46875,3,1,1.453125,4,X,2.9375,2,X,1.96875,3,X,1.265625,4,1,0.9375,2,1,2,40,27,8,0,40,1.6,1.066666667,0.333333333,0,1.6,20,20,21,3,19,16,17,15,17,6,17,16,20,18,18,6,17,17,21,20,19,1,21,19
