subID,amount,task,indPt,SV
121,3,2,2.953125,0.984375
121,3,3,2.296875,0.765625
121,2,2,0.96875,0.484375
121,4,2,3.8125,0.953125
121,2,3,1.78125,0.890625
121,4,3,2.3125,0.578125
122,4,1,3.9375,0.984375
122,2,1,1.96875,0.984375
122,3,1,2.953125,0.984375
122,2,2,1.90625,0.953125
122,4,2,3.9375,0.984375
122,2,3,1.78125,0.890625
122,4,3,3.9375,0.984375
122,3,2,2.953125,0.984375
122,3,3,2.953125,0.984375
123,2,3,0.78125,0.390625
123,3,3,1.734375,0.578125
123,2,2,1.96875,0.984375
123,4,1,3.9375,0.984375
123,2,1,1.90625,0.953125
123,4,2,3.9375,0.984375
123,3,1,2.953125,0.984375
123,4,3,1.1875,0.296875
123,3,2,2.953125,0.984375
124,4,1,3.0625,0.765625
124,2,1,0.96875,0.484375
124,3,1,2.015625,0.671875
124,2,2,0.96875,0.484375
124,4,2,2.1875,0.546875
124,2,3,0.21875,0.109375
124,4,3,2.1875,0.546875
124,3,2,1.640625,0.546875
124,3,3,0.703125,0.234375
125,2,3,1.53125,0.765625
125,3,3,2.671875,0.890625
125,2,2,1.71875,0.859375
125,4,1,3.6875,0.921875
125,2,1,1.84375,0.921875
125,4,2,3.9375,0.984375
125,3,1,2.578125,0.859375
125,4,3,3.0625,0.765625
125,3,2,2.859375,0.953125
126,4,1,1.9375,0.484375
126,2,1,1.96875,0.984375
126,3,1,2.203125,0.734375
126,2,2,0.46875,0.234375
126,4,2,2.4375,0.609375
126,2,3,0.46875,0.234375
126,4,3,1.6875,0.421875
126,3,2,1.265625,0.421875
126,3,3,0.984375,0.328125
127,2,3,0.03125,0.015625
127,3,3,0.046875,0.015625
127,2,2,1.09375,0.546875
127,4,1,1.4375,0.359375
127,2,1,1.71875,0.859375
127,4,2,1.8125,0.453125
127,3,1,2.859375,0.953125
127,4,3,0.0625,0.015625
127,3,2,0.609375,0.203125
128,4,1,2.9375,0.734375
128,2,1,1.96875,0.984375
128,3,1,2.859375,0.953125
128,2,2,1.90625,0.953125
128,4,2,3.9375,0.984375
128,2,3,1.96875,0.984375
128,4,3,2.4375,0.609375
128,3,2,2.953125,0.984375
128,3,3,2.953125,0.984375
129,3,3,2.953125,0.984375
129,4,3,3.9375,0.984375
129,3,2,2.953125,0.984375
129,2,2,1.96875,0.984375
129,2,1,1.96875,0.984375
129,2,3,1.96875,0.984375
129,3,1,2.953125,0.984375
129,4,1,3.9375,0.984375
129,4,2,3.9375,0.984375
130,3,3,1.921875,0.640625
130,4,3,2.6875,0.671875
130,2,3,0.78125,0.390625
130,2,1,1.90625,0.953125
130,4,1,2.9375,0.734375
130,2,2,0.96875,0.484375
130,4,2,2.8125,0.703125
130,3,1,2.953125,0.984375
130,3,2,2.109375,0.703125
131,2,3,0.03125,0.015625
131,3,3,0.515625,0.171875
131,2,2,1.03125,0.515625
131,4,1,2.9375,0.734375
131,2,1,1.09375,0.546875
131,4,2,2.1875,0.546875
131,3,1,2.484375,0.828125
131,4,3,0.6875,0.171875
131,3,2,1.453125,0.484375
132,4,1,3.9375,0.984375
132,2,1,1.96875,0.984375
132,3,1,2.953125,0.984375
132,2,2,1.96875,0.984375
132,4,2,3.9375,0.984375
132,2,3,1.96875,0.984375
132,4,3,3.9375,0.984375
132,3,2,2.953125,0.984375
132,3,3,2.953125,0.984375
